kmeans,random,greedy,hillclimber
29671,36007,29401,34810
29851,35548,29428,35548
29797,35548,29437,34882
29689,35593,29455,35251
29590,35467,29446,35332
29662,35170,29428,34990
29716,35710,29383,35125
29590,35962,29365,35278
29779,35962,29446,35431
29725,36376,29356,35143
29653,35701,29500,35251
29545,35332,29338,35422
29833,35341,29455,35188
29662,35818,29320,35233
29770,35152,29464,35359
29770,35755,29374,35260
29662,35620,29338,34909
29797,35521,29338,35269
29806,35179,29707,35539
29572,35161,29410,35350
29815,35683,29446,35512
29743,35998,29392,35440
29662,35800,29347,35179
29779,34576,29338,35422
29662,35665,29347,35602
29752,35827,29374,35611
29662,35611,29392,35242
29788,35467,29338,35206
29662,35773,29356,35314
29617,35944,29437,35602
29761,36115,29329,35215
29590,35134,29446,35170
29671,35440,29374,35647
29779,35782,29356,35692
29554,35269,29383,35269
29455,36133,29455,34837
29707,35395,29347,35323
29581,35692,29455,35341
29707,35737,29428,34855
29725,35953,29329,35566
29734,35692,29464,35512
29806,35755,29311,35044
29662,35089,29482,34846
29743,35656,29338,35503
29590,35665,29374,35233
29698,35935,29401,34855
29716,35224,29410,35386
29689,35710,29428,35926
29725,35863,29464,35431
29869,35782,29410,35224
29815,35998,29284,35197
29698,35944,29347,35521
29878,35692,29455,35251
29905,35809,29329,35485
29545,35800,29698,35152
29797,35521,29338,35296
29698,35701,29320,34954
29869,35485,29437,34945
29752,35674,29320,35431
29680,35557,29392,35386
29734,35755,29419,35467
29878,35143,29437,34729
29743,35683,29491,35170
29644,36070,29482,35116
29644,35566,29437,35548
29788,35431,29464,35143
29617,35620,29365,35341
29689,35953,29347,35233
29761,35809,29410,35053
29680,35674,29320,34774
29815,35521,29428,34990
29743,35521,29464,35521
29797,35701,29401,35062
29653,35665,29707,35044
29716,35656,29329,35422
29581,36142,29311,35233
29707,35827,29419,35053
29635,35710,29365,35494
29851,35962,29437,34837
29536,35863,29509,35305
29698,35431,29491,35368
29806,35638,29338,34909
29671,35899,29347,35107
29626,35287,29347,35134
29590,35818,29311,35188
29689,35593,29419,35152
29662,35728,29347,35395
29788,35800,29707,35233
29725,35485,29374,35341
29743,35809,29356,35440
29761,34900,29329,35485
29761,35233,29464,35692
29608,35575,29383,35314
29932,35701,29509,35224
29698,35368,29419,34846
29707,36079,29410,35431
29725,35872,29338,34990
29581,36331,29284,35386
29599,35557,29428,35431
29761,35935,29446,34873
29734,35971,29329,35017
29563,35683,29329,35170
29950,35332,29455,35332
29653,35683,29347,35557
29770,35251,29455,35224
29653,35449,29347,35287
29707,35710,29428,35125
29644,35656,29455,34927
29860,35710,29374,35368
29653,36196,29473,35665
29833,35728,29320,35053
29500,36520,29383,34855
29743,35611,29392,35188
29734,35647,29446,35467
29653,35719,29329,35224
29680,35611,29374,35053
29644,35413,29311,35107
29689,35584,29401,35035
29743,36115,29329,34891
29743,35485,29437,35341
29824,35683,29347,35035
29698,35476,29437,35026
29671,35215,29347,35413
29833,35620,29455,34873
29869,35899,29356,35431
29806,35296,29734,35431
29698,35674,29455,35755
29743,35512,29329,35422
29536,35341,29419,35080
29743,35557,29365,35233
29770,36268,29320,35260
29572,35296,29689,35431
29689,35233,29446,35467
29635,35863,29302,34936
29905,36070,29410,35395
29923,35737,29356,35314
29725,35872,29455,35485
29761,35404,29446,34801
29581,36304,29419,35071
29743,35521,29419,35485
29662,35332,29716,35197
29779,35386,29401,35242
29689,35593,29356,35116
29734,35296,29455,35206
29752,35674,29401,35395
29680,35476,29383,35314
29617,35359,29473,35260
29752,35323,29320,35287
29680,35476,29401,35071
29752,35503,29428,35125
29716,35323,29428,35611
29797,35899,29446,35305
29752,35719,29302,35188
29590,35971,29437,35206
29752,36079,29455,35224
29671,35611,29392,34990
29815,35719,29419,34999
29779,36079,29347,35827
29779,35800,29347,35170
29725,35170,29311,35350
29779,35782,29428,35440
29680,35467,29383,35314
29608,35737,29293,35620
29851,35737,29419,34954
29698,35692,29356,35692
29833,35665,29437,35305
29644,36160,29401,35530
29545,35980,29437,35080
29752,35647,29356,35692
29653,36061,29464,35251
29797,35071,29473,35071
29572,36061,29347,34729
29509,36187,29374,35026
29761,35710,29446,34936
29626,35341,29374,35899
29671,36178,29338,35044
29725,35917,29428,35341
29698,35944,29500,34747
29752,35746,29383,35062
29761,36349,29338,35638
29698,35701,29419,35251
